activity_id,assay_chembl_id,document_chembl_id,molecule_chembl_id,canonical_smiles,target_chembl_id,target_organism,standard_type,type,effective_type,standard_relation,relation,effective_relation,standard_value,standard_upper_value,standard_units,pchembl_value,value,upper_value,units,activity_comment,standard_text_value,text_value,data_validity_comment,potential_duplicate,activity_properties_json,exact_ic50,non_exact_ic50,interval_ic50,right_censored_ic50,left_censored_ic50,text_contains_inactive,single_point_inhibition,missing_structure,potential_duplicate_true,has_validity_comment,missing_target_organism,has_standard_text_value,descriptive_flags
10983796,CHEMBL2071976,CHEMBL2069204,CHEMBL2071598,O=C(CNC(=O)c1ccccc1)c1ccc(Cl)cc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983797,CHEMBL2071976,CHEMBL2069204,CHEMBL2071597,O=C(NC1(C(=O)c2ccc(Cl)cc2)CCC1)c1ccccc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983800,CHEMBL2071976,CHEMBL2069204,CHEMBL2071594,CCCC(NC(=O)c1ccccc1)C(=O)c1ccc(Cl)cc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983811,CHEMBL2071976,CHEMBL2069204,CHEMBL2071515,CC(C)C(NC(=O)NCc1ccccc1)C(=O)c1ccc(C#N)cc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983812,CHEMBL2071976,CHEMBL2069204,CHEMBL2071514,CC(C)C(NC(=O)Nc1ccc(F)cc1)C(=O)c1ccc(C#N)cc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983820,CHEMBL2071976,CHEMBL2069204,CHEMBL2071506,CC(C)C(NC(=O)c1cc(Cl)ccc1F)C(=O)c1ccc(C#N)cc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983825,CHEMBL2071976,CHEMBL2069204,CHEMBL2071501,C=CCN(CC=C)c1ccc(C(=O)C(NC(=O)c2ccccc2)C(C)C)cc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983826,CHEMBL2071976,CHEMBL2069204,CHEMBL2071500,CC(C)C(NC(=O)c1ccccc1)C(=O)c1ccc(N)cc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983827,CHEMBL2071976,CHEMBL2069204,CHEMBL2071499,CC(C)C(NC(=O)c1ccccc1)C(=O)c1ccc(S(C)(=O)=O)cc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983830,CHEMBL2071976,CHEMBL2069204,CHEMBL2071496,CC(C)C(NC(=O)c1ccccc1)C(=O)c1cccc(Cl)c1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983832,CHEMBL2071976,CHEMBL2069204,CHEMBL2071494,CC(C)C(NC(=O)c1ccccc1)C(=O)c1ccc(Cl)cc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983836,CHEMBL2071976,CHEMBL2069204,CHEMBL2071492,CC(C)C(NC(=O)c1ccccc1)C(=O)c1ccccc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
14750380,CHEMBL3299551,CHEMBL3297713,CHEMBL3298236,c1ccc(-c2ccc3[nH]ncc3c2)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,30000.0,,nM,,30.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
14750413,CHEMBL3299551,CHEMBL3297713,CHEMBL3299027,CNC(=O)c1cc2[nH]ncc2cc1-c1ccccc1C(F)(F)F,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,30000.0,,nM,,30.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
14750414,CHEMBL3299551,CHEMBL3297713,CHEMBL3298235,Clc1ccccc1-c1ccc2[nH]ncc2c1,CHEMBL6007,Homo sapiens,Inhibition,INH,INHIBITION,=,=,=,91.0,,%,,91.0,,%,,,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,single_point_inhibition
14750415,CHEMBL3299551,CHEMBL3297713,CHEMBL3298237,Fc1ccccc1-c1ccc2[nH]ncc2c1,CHEMBL6007,Homo sapiens,Inhibition,INH,INHIBITION,=,=,=,68.0,,%,,68.0,,%,,,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,single_point_inhibition
14750416,CHEMBL3299551,CHEMBL3297713,CHEMBL3298238,Cc1ccccc1-c1ccc2[nH]ncc2c1,CHEMBL6007,Homo sapiens,Inhibition,INH,INHIBITION,=,=,=,78.0,,%,,78.0,,%,,,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,single_point_inhibition
14750417,CHEMBL3299551,CHEMBL3297713,CHEMBL3298239,CCc1ccccc1-c1ccc2[nH]ncc2c1,CHEMBL6007,Homo sapiens,Inhibition,INH,INHIBITION,=,=,=,96.0,,%,,96.0,,%,,,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,single_point_inhibition
