inchikey,std_smiles,molecule_chembl_id,pchembl_median,pchembl_min,pchembl_max,pchembl_std,n_measurements,year_min,year_max,n_documents,n_assays
RVDABDCXJORPND-UHFFFAOYSA-N,Cc1csc2ncc(Cc3nn(CCc4ccc(Cl)cc4)c(=O)o3)c(=O)n12,CHEMBL6058290,7.19,7.19,7.19,,1,2021,2021,1,1
RVGJWMWMMBRESO-LBPRGKRZSA-N,Cc1c(C(N)=O)sc2ncn(Cc3nc(C[C@H](O)c4ccc(Cl)cc4)no3)c(=O)c12,CHEMBL4869839,7.89,7.89,7.89,0.0,2,2021,2021,2,2
RVMLSWRWPJDAMD-UHFFFAOYSA-N,CC(C)c1ccc(-c2csc(NC(=O)Cc3cccc4c3c(=O)n(C)c(=O)n4C)n2)cc1,CHEMBL3914637,7.22,7.22,7.22,,1,2015,2015,1,1
RWCHXWRYBIRFNE-UHFFFAOYSA-N,Cn1c(=O)c2c(CC(=O)Nc3nc(-c4cc(F)cc(C(F)(F)F)c4)cs3)c(Cl)oc2n(C)c1=O,CHEMBL3930651,8.29,8.29,8.29,,1,2015,2015,1,1
RWIAKYVGVKDIRP-SWLSCSKDSA-N,OC(F)(F)[C@@]1(O)CCCC[C@H]1Cc1c[nH]c2ccccc12,CHEMBL5431088,4.6,4.6,4.6,,1,2023,2023,1,1
RXBHBVLYZQAGOZ-KOMQPUFPSA-N,Cc1ccnc2ncn(Cc3nn([C@H]4C[C@H](c5ccc(Cl)cc5)C4)c(=O)o3)c(=O)c12,CHEMBL6041401,8.2,8.2,8.2,,1,2021,2021,1,1
RXCHUXFWVPCBNN-UHFFFAOYSA-N,CN1C(=O)c2cccc(CC(=O)Nc3nc(-c4ccc(Cl)c(Cl)c4)cs3)c2C1=O,CHEMBL1083803,6.6,6.6,6.6,,1,2010,2010,1,1
RXDLQMSQKRAFKY-SWLSCSKDSA-N,Nc1nc(=O)c2cccnc2n1Cc1nc([C@@H]2CO[C@@H](c3ccc(F)cc3)C2)no1,CHEMBL5857567,7.45,7.08,7.82,0.5232590180780453,2,2020,2020,1,2
RYOHHCGMNJEVIR-UHFFFAOYSA-N,CCC(=O)Cn1c(=O)c2c(ncn2C(C)C(=O)Nc2ccnc(-c3cnc(N4CC5CC5C4)nc3)n2)n(C)c1=O,CHEMBL5897591,8.1,8.1,8.1,,1,2019,2019,1,1
RYUCFDWWFHXUHD-UXHICEINSA-N,COc1nn(-c2ccc(C(F)F)cc2)cc1CC(=O)N[C@@H]1CC[C@@H]1S(=O)(=O)c1ccc(F)cc1,CHEMBL5949672,7.36,7.36,7.36,,1,2020,2020,1,1
RZMBEUPDQABNNP-LSKLOWJMSA-N,C[C@H]1[C@H](F)C[C@@H](C(=O)NCc2c(F)cnc(-c3cnc(C(F)(F)F)nc3)c2F)N1S(=O)(=O)c1ccc(F)cc1,CHEMBL4064602,6.48,6.48,6.48,,1,2018,2018,1,1
SABAYCWPZHQHKG-NFOMZHRRSA-N,COCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(N4CC5CC5C4)nc3)n2)n(C)c1=O,CHEMBL5859441,8.22,8.22,8.22,,1,2019,2019,1,1
SAMJQPAXJHTPPP-UHFFFAOYSA-N,O=c1c2cccnc2ncn1Cc1nc(CCc2ccc(Cl)cc2)no1,CHEMBL3785110,6.904999999999999,6.42,7.39,0.6858935777509506,2,2016,2016,1,2
SBACLEGKEWSXLI-UHFFFAOYSA-N,Cn1c(=O)c2c(CC(=O)Nc3nc(-c4cc(F)c(CCC(F)(F)F)c(F)c4)cs3)coc2n(C)c1=O,CHEMBL3981050,8.47,8.47,8.47,,1,2015,2015,1,1
SBWZTTUKCJUALE-SWLSCSKDSA-N,O=c1c2c(Cl)ccnc2ncn1Cc1nc([C@@H]2CO[C@@H](c3ccc(F)cc3)C2)no1,CHEMBL5865597,7.82,7.82,7.82,,1,2020,2020,1,1
SCDFLVQWVCBTRY-UHFFFAOYSA-N,Cn1cnc2ncn(Cc3nn(CCc4ccc(-c5ccccc5)cc4)c(=O)o3)c(=O)c21,CHEMBL5799314,6.6,6.6,6.6,,1,2021,2021,1,1
