molecule_chembl_id,canonical_smiles,std_smiles,inchikey,mw
CHEMBL7748,Nc1nc2ccc(OCc3ccccc3)cc2c2nc(-c3ccco3)nn12,Nc1nc2ccc(OCc3ccccc3)cc2c2nc(-c3ccco3)nn12,HLVWGYRGLULGIP-UHFFFAOYSA-N,357.3730000000001
CHEMBL9287,Cc1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2cccc(Cl)c2Cl)c1,Cc1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2cccc(Cl)c2Cl)c1,PDHMYNMLZUBRGQ-UHFFFAOYSA-N,454.31700000000023
CHEMBL8041,NC1=NC(c2cccs2)Cc2ccsc21,NC1=NC(c2cccs2)Cc2ccsc21,LSTQFUCKHDHNPQ-UHFFFAOYSA-N,234.34899999999996
CHEMBL7610,COc1ccc(C[C@H](NC(=O)Nc2ccc3c(CN4CCCC4)cn(Cc4c(Cl)cccc4Cl)c3c2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCc2ccccc2)cc1,COc1ccc(C[C@H](NC(=O)Nc2ccc3c(CN4CCCC4)cn(Cc4c(Cl)cccc4Cl)c3c2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCc2ccccc2)cc1,BCXNFSKGOXTNLM-YDAXCOIMSA-N,840.857
CHEMBL8088,NC1=NC(c2ccc(F)cc2)Cc2ccccc21,NC1=NC(c2ccc(F)cc2)Cc2ccccc21,KWMGDJOVVNCHIR-UHFFFAOYSA-N,240.281
CHEMBL9031,CCCCCCCCCCC(=O)N[C@H]1CCOC1=O,CCCCCCCCCCC(=O)N[C@H]1CCOC1=O,YAWJNUREPGJHSG-ZDUSSCGKSA-N,269.385
CHEMBL415105,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)Nc2ccccc2)cc1,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)Nc2ccccc2)cc1,CIZRYSKNRLNVSU-UHFFFAOYSA-N,422.48800000000006
CHEMBL6290,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(Br)cc4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(Br)cc4)CC3)nc(N)c2cc1OC,MHIHVTNOKUCTSW-VMPITWQZSA-N,498.38100000000026
CHEMBL7451,O=C(CCc1ccccc1)OC[C@H]1C[C@@H]2O[C@H]1[C@H]1C(=O)OC(=O)[C@H]12,O=C(CCc1ccccc1)OC[C@H]1C[C@@H]2O[C@H]1[C@H]1C(=O)OC(=O)[C@H]12,YASDWUIXLWVSRS-ZLTXHLNPSA-N,330.33600000000007
CHEMBL7065,CC(C)NCC(O)COc1ccc(C[S+]([O-])CC2CCCC2)cc1,CC(C)NCC(O)COc1ccc(C[S+]([O-])CC2CCCC2)cc1,NEWTVTARTFDJKI-UHFFFAOYSA-N,353.5280000000002
CHEMBL9471,O=C(Nc1ccccc1)Nc1ccc(O)cc1,O=C(Nc1ccccc1)Nc1ccc(O)cc1,BNIXCWKOADUVSB-UHFFFAOYSA-N,228.25099999999998
CHEMBL265675,C=C1[C@@H](CC(N)=O)[C@H]1CCCC,C=C1[C@@H](CC(N)=O)[C@H]1CCCC,GLLVRGYMYUTTMW-DTWKUNHWSA-N,167.25199999999998
CHEMBL9481,CC(C)Oc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,CC(C)Oc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,SSOSUTKXTSZZHT-UHFFFAOYSA-N,313.353
